time,bpm
2023-05-29 16:09:29 +0900 JST,71
2023-05-29 16:09:30 +0900 JST,72
2023-05-29 16:09:31 +0900 JST,75
2023-05-29 16:09:35 +0900 JST,81
2023-05-29 16:09:36 +0900 JST,80
2023-05-29 16:09:40 +0900 JST,77
2023-05-29 16:09:42 +0900 JST,78
2023-05-29 16:09:44 +0900 JST,79
2023-05-29 16:09:45 +0900 JST,80
2023-05-29 16:09:47 +0900 JST,82
2023-05-29 16:09:49 +0900 JST,80
2023-05-29 16:09:52 +0900 JST,81
2023-05-29 16:09:57 +0900 JST,75
2023-05-29 16:09:55 +0900 JST,76
2023-05-29 16:10:01 +0900 JST,74
2023-05-29 16:10:06 +0900 JST,73
2023-05-29 16:10:09 +0900 JST,72
2023-05-29 16:10:11 +0900 JST,73
2023-05-29 16:10:13 +0900 JST,75
2023-05-29 16:10:15 +0900 JST,80
2023-05-29 16:10:17 +0900 JST,85
2023-05-29 16:10:18 +0900 JST,86
2023-05-29 16:10:21 +0900 JST,83
2023-05-29 16:10:25 +0900 JST,80
2023-05-29 16:10:24 +0900 JST,81
2023-05-29 16:10:26 +0900 JST,81
2023-05-29 16:10:31 +0900 JST,82
2023-05-29 16:10:35 +0900 JST,85
2023-05-29 16:10:39 +0900 JST,89
2023-05-29 16:10:40 +0900 JST,91
2023-05-29 16:10:41 +0900 JST,92
2023-05-29 16:10:44 +0900 JST,91
2023-05-29 16:10:47 +0900 JST,90
2023-05-29 16:10:50 +0900 JST,89
2023-05-29 16:10:52 +0900 JST,87
2023-05-29 16:10:58 +0900 JST,87
2023-05-29 16:10:59 +0900 JST,91
2023-05-29 16:11:02 +0900 JST,97
2023-05-29 16:11:05 +0900 JST,100
2023-05-29 16:11:10 +0900 JST,104
2023-05-29 16:11:11 +0900 JST,105
2023-05-29 16:11:13 +0900 JST,103
2023-05-29 16:11:16 +0900 JST,102
2023-05-29 16:11:17 +0900 JST,101
2023-05-29 16:11:20 +0900 JST,110
2023-05-29 16:11:21 +0900 JST,114
2023-05-29 16:11:24 +0900 JST,115
2023-05-29 16:11:27 +0900 JST,110
2023-05-29 16:11:29 +0900 JST,108
2023-05-29 16:11:31 +0900 JST,110
2023-05-29 16:11:38 +0900 JST,110
2023-05-29 16:11:39 +0900 JST,109
2023-05-29 16:11:34 +0900 JST,111
2023-05-29 16:11:41 +0900 JST,108
2023-05-29 16:11:47 +0900 JST,106
2023-05-29 16:11:49 +0900 JST,103
2023-05-29 16:11:50 +0900 JST,102
2023-05-29 16:11:58 +0900 JST,94
2023-05-29 16:11:56 +0900 JST,94
2023-05-29 16:12:01 +0900 JST,97
2023-05-29 16:12:02 +0900 JST,96
2023-05-29 16:12:03 +0900 JST,97
2023-05-29 16:12:10 +0900 JST,98
2023-05-29 16:12:11 +0900 JST,96
2023-05-29 16:12:12 +0900 JST,94
2023-05-29 16:12:13 +0900 JST,92
2023-05-29 16:12:15 +0900 JST,90
2023-05-29 16:12:21 +0900 JST,88
2023-05-29 16:12:22 +0900 JST,87
2023-05-29 16:12:28 +0900 JST,88
2023-05-29 16:12:30 +0900 JST,90
2023-05-29 16:12:31 +0900 JST,91
2023-05-29 16:12:34 +0900 JST,90
2023-05-29 16:12:40 +0900 JST,89
2023-05-29 16:12:42 +0900 JST,88
2023-05-29 16:12:45 +0900 JST,88
2023-05-29 16:12:48 +0900 JST,89
2023-05-29 16:12:51 +0900 JST,89
2023-05-29 16:12:54 +0900 JST,87
2023-05-29 16:12:57 +0900 JST,84
2023-05-29 16:12:58 +0900 JST,82
2023-05-29 16:13:02 +0900 JST,84
2023-05-29 16:13:04 +0900 JST,86
2023-05-29 16:13:07 +0900 JST,90
2023-05-29 16:13:10 +0900 JST,92
2023-05-29 16:13:12 +0900 JST,93
2023-05-29 16:13:15 +0900 JST,94
2023-05-29 16:13:16 +0900 JST,95
2023-05-29 16:13:19 +0900 JST,94
2023-05-29 16:13:20 +0900 JST,97
2023-05-29 16:13:21 +0900 JST,99
2023-05-29 16:13:22 +0900 JST,98
2023-05-29 16:13:25 +0900 JST,98
2023-05-29 16:13:29 +0900 JST,95
2023-05-29 16:13:30 +0900 JST,96
2023-05-29 16:13:33 +0900 JST,97
2023-05-29 16:13:35 +0900 JST,95
2023-05-29 16:13:38 +0900 JST,95
2023-05-29 16:13:42 +0900 JST,100
2023-05-29 16:13:43 +0900 JST,103
2023-05-29 16:13:44 +0900 JST,105
2023-05-29 16:13:49 +0900 JST,104
2023-05-29 16:13:51 +0900 JST,102
2023-05-29 16:13:57 +0900 JST,101
2023-05-29 16:13:56 +0900 JST,100
2023-05-29 16:13:59 +0900 JST,100
2023-05-29 16:14:08 +0900 JST,96
2023-05-29 16:14:07 +0900 JST,95
2023-05-29 16:14:03 +0900 JST,98
2023-05-29 16:14:12 +0900 JST,98
2023-05-29 16:14:13 +0900 JST,97
